"id","title","latitude","longitude","pleiades","author","rank","latlong"
"50063","Bagacum",50.297,3.792,"108788","Scheidel",7,"50.297:3.792"
"50064","Banasa",34.602,-6.115,"275599","Scheidel",8,"34.602:-6.115"
"50065","Barcino",41.388,2.17,"246343","Scheidel",9,"41.388:2.17"
"50066","Barium",41.129,16.87,"442500","Scheidel",7,"41.129:16.87"
"50067","Batnae",36.976,38.424,"658405","Scheidel",8,"36.976:38.424"
"50068","Beneharnum",43.333,-0.435,"246237","Scheidel",7,"43.333:-0.435"
"50069","Beneventum",41.13,14.781,"432721","Scheidel",9,"41.13:14.781"
"50070","Berenice",23.91,35.474,"no Pleiades ID yet","Scheidel",8,"23.91:35.474"
"50072","Beroia",36.203,37.149,"658409","Scheidel",8,"36.203:37.149"
"50073","Berytus",33.899,35.521,"678060","Scheidel",9,"33.899:35.521"
"50075","Bilbilis",41.382,-1.603,"246247","Scheidel",8,"41.382:-1.603"
"50077","Bonna",50.733,7.096,"108818","Scheidel",8,"50.733:7.096"
"50078","Bononia",44.495,11.349,"393421","Scheidel",8,"44.495:11.349"
"50079","Bononia (Moesia)",43.993,22.876,"206975","Scheidel",8,"43.993:22.876"
"50080","Bostra",32.518,36.484,"678073","Scheidel",9,"32.518:36.484"
"50432","Boubastis",0,0,"no Pleiades ID yet","Scheidel",7,"0:0"
