"id","label","rank","x","y"
50362,"Sitifis",90,5.394,36.192
50363,"Smyrna",90,27.141,38.427
50364,"Soura",70,38.804,35.906
50365,"Spinis",60,-1.233,51.400
50366,"Spoletium",90,12.737,42.744
50367,"Stobi",80,21.972,41.554
50368,"Sufasar",80,2.507,36.194
50369,"Sufetula",80,9.128,35.257
50370,"Summuntorium",70,10.789,48.639
50371,"Summus Pyreneus (West)",60,-1.359,43.008
50372,"Summus Pyreneus (East)",60,-0.728,42.845
50373,"Syene",80,32.905,24.095
50374,"Tacape",90,10.098,33.882
50375,"Taliata",70,22.148,44.460
50376,"Tabia",80,34.535,39.858
50377,"Tarentum",90,17.239,40.468
50378,"Tarracina",90,13.248,41.290
50379,"Tarraco",100,1.230,41.115
50380,"Tarsus",90,34.901,36.915
50381,"Teanum",80,14.055,41.254
50382,"Terenouthis",70,30.816,30.431
50383,"Tergeste",80,13.771,45.648
50384,"Thagaste",80,7.983,36.290
50385,"Thamugadi",80,6.472,35.503
50386,"Thebae",80,23.318,38.321
50387,"Thelepte",80,8.596,34.986
50388,"Thelseai",60,36.699,33.645
50389,"Thessalonica",90,22.966,40.635
50390,"Theveste",80,8.143,35.409
50391,"Thuburnica",80,8.460,36.530
50392,"Tibiscum",80,22.185,45.458
50393,"Tibur",80,12.797,41.963
50394,"Tubusuctu",80,4.834,36.668
50395,"Ticinum",70,9.156,45.185
50396,"Tingi",90,-5.798,35.792
50398,"Tolosa",80,1.434,43.616
50399,"Tomis",80,28.643,44.188
50400,"Tralles",80,27.840,37.860
50401,"Trapezus",80,39.718,41.002
50402,"Tridentum",80,11.118,46.066
50403,"Troesmis",80,28.195,45.156
50404,"Tyana",80,34.616,37.828
50405,"Tyrus",90,35.198,33.277
50406,"Valentia",80,4.889,44.929
50407,"Vappincum",70,6.033,44.546
50408,"Veldidena",60,11.394,47.260
50409,"Venonis",60,-1.299,52.487
50410,"Venusia",80,15.814,40.962
50411,"Venta Icenorum",80,1.287,52.577
50412,"Venta",80,-1.323,51.068
50413,"Vercellae",80,8.416,45.330
50414,"Verona",90,10.994,45.439
50415,"Verulamium",80,-0.356,51.745
50416,"Vesontio",80,6.002,47.224
50417,"Vibo Valentia",80,16.097,38.675
50418,"Vienna",90,4.878,45.524
50419,"Viminacium",80,21.233,44.736
50420,"Vindobona",80,16.373,48.210
50421,"Viroconium",80,-2.649,52.660
50422,"Virovesca",70,-3.324,42.549
50423,"Virunum",90,14.415,46.702
50424,"Vivisco",60,6.840,46.468
50425,"Volsinii",80,11.985,42.644
50426,"Volubilis",80,-5.558,34.085
50427,"Zarai",80,5.683,35.799
50428,"Zeugma",80,37.875,37.059
50429,"Lugdunum",100,4.818,45.758
50430,"Heraclea Pontica",90,31.419,41.282
50431,"Laodicea ad Lycum",90,29.116,37.842
50432,"Boubastis",70,31.517,30.582
50434,"Vorgium",70,-3.576,48.296
50435,"Aginnum",80,0.627,44.203
50436,"Cibyra",80,29.519,37.158
